INFO - main.py - 2024-04-10 14:27:43,251 - Using device: cpu
INFO - main.py - 2024-04-10 14:27:43,252 - Namespace(config='configs/cfg_V1.yml', data_path='../../../datasets/private/METABREST/T1W_Breast/video_data', seed=1234, exp='mcvd_V1', comment='', verbose='info', resume_training=False, test=False, feats_dir='/nas-ctm01/homes/pfsousa/MCVD/datasets', stats_dir='/nas-ctm01/homes/pfsousa/MCVD/datasets', stats_download=False, fast_fid=False, fid_batch_size=1000, no_pr=False, fid_num_samples=None, pr_nn_k=None, sample=False, image_folder='images', final_only=None, end_ckpt=None, freq=None, no_ema=False, ni=True, interact=False, video_gen=False, video_folder='videos', subsample=None, ckpt=None, config_mod=[], start_at=0, command='python main.py --config configs/cfg_V1.yml --data_path ../../../datasets/private/METABREST/T1W_Breast/video_data --exp mcvd_V1 --ni', log_path='mcvd_V1/logs')
INFO - main.py - 2024-04-10 14:27:43,253 - Writing log file to mcvd_V1/logs
INFO - main.py - 2024-04-10 14:27:43,253 - Exp instance id = 175484
INFO - main.py - 2024-04-10 14:27:43,253 - Exp comment = 
INFO - main.py - 2024-04-10 14:27:43,253 - Config =
INFO - main.py - 2024-04-10 14:27:43,259 - Args =
INFO - ncsn_runner.py - 2024-04-10 14:27:45,769 - Number of parameters: 27967710
INFO - ncsn_runner.py - 2024-04-10 14:27:45,770 - Number of trainable parameters: 27967710
INFO - ncsn_runner.py - 2024-04-10 14:27:45,772 - Running on CPU!
INFO - ncsn_runner.py - 2024-04-10 14:27:59,065 - elapsed: 0:00:13.069, train time: 0.0035, mem: 1.171GB, GPUmem: 0.000GB, step: 1, lr: 0.000000, grad: 9295.3301, loss: 61091.6914
INFO - ncsn_runner.py - 2024-04-10 14:28:05,634 - elapsed: 0:00:19.675, step: 1, mem: 1.386GB, GPUmem: 0.000GB, test_loss: 61254.6953
INFO - ncsn_runner.py - 2024-04-10 14:29:26,429 - elapsed: 0:01:40.469, train time: 0.0243, mem: 1.515GB, GPUmem: 0.000GB, step: 10, lr: 0.000002, grad: 6823.3521, loss: 61548.8281
INFO - ncsn_runner.py - 2024-04-10 14:30:47,127 - elapsed: 0:03:01.167, train time: 0.0449, mem: 1.528GB, GPUmem: 0.000GB, step: 20, lr: 0.000004, grad: 14002.3457, loss: 61503.9727
INFO - ncsn_runner.py - 2024-04-10 14:32:08,458 - elapsed: 0:04:22.498, train time: 0.0656, mem: 1.527GB, GPUmem: 0.000GB, step: 30, lr: 0.000006, grad: 16888.1035, loss: 61114.4609
INFO - ncsn_runner.py - 2024-04-10 14:33:29,334 - elapsed: 0:05:43.373, train time: 0.0863, mem: 1.484GB, GPUmem: 0.000GB, step: 40, lr: 0.000008, grad: 17007.2793, loss: 61437.8242
INFO - ncsn_runner.py - 2024-04-10 14:34:48,166 - elapsed: 0:07:02.206, train time: 0.1064, mem: 1.517GB, GPUmem: 0.000GB, step: 50, lr: 0.000010, grad: 11050.2412, loss: 61445.8047
INFO - ncsn_runner.py - 2024-04-10 14:36:05,443 - elapsed: 0:08:19.482, train time: 0.1263, mem: 1.507GB, GPUmem: 0.000GB, step: 60, lr: 0.000012, grad: 16890.0703, loss: 61027.5312
INFO - ncsn_runner.py - 2024-04-10 14:37:23,454 - elapsed: 0:09:37.494, train time: 0.1464, mem: 1.517GB, GPUmem: 0.000GB, step: 70, lr: 0.000014, grad: 5736.3779, loss: 61904.2500
INFO - ncsn_runner.py - 2024-04-10 14:38:48,253 - elapsed: 0:11:02.293, train time: 0.1682, mem: 1.492GB, GPUmem: 0.000GB, step: 80, lr: 0.000016, grad: 16708.1582, loss: 60449.8516
INFO - ncsn_runner.py - 2024-04-10 14:40:13,116 - elapsed: 0:12:27.100, train time: 0.1894, mem: 1.524GB, GPUmem: 0.000GB, step: 90, lr: 0.000018, grad: 16646.4219, loss: 60167.8594
